"filename", "language", "Papyrus Project", "HTML", "JSON", "Papyrus", "Batch", "Markdown", "comment", "blank", "total"
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportMeter01.psc", "Papyrus", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportMeter02.psc", "Papyrus", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportMeter03.psc", "Papyrus", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportMeter04.psc", "Papyrus", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportMeterBase.psc", "Papyrus", 0, 0, 0, 30, 0, 0, 1, 5, 36
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportSkyUILib.psc", "Papyrus", 0, 0, 0, 34, 0, 0, 1, 7, 42
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportWidget.psc", "Papyrus", 0, 0, 0, 290, 0, 0, 35, 54, 379
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedActor.psc", "Papyrus", 0, 0, 0, 65, 0, 0, 38, 24, 127
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedAlphaCalc.psc", "Papyrus", 0, 0, 0, 70, 0, 0, 27, 23, 120
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedAlphaCalcNPC.psc", "Papyrus", 0, 0, 0, 21, 0, 0, 10, 11, 42
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedAlphaCalcPlayer.psc", "Papyrus", 0, 0, 0, 46, 0, 0, 15, 14, 75
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedHum.psc", "Papyrus", 0, 0, 0, 10, 0, 0, 2, 5, 17
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedHumFem.psc", "Papyrus", 0, 0, 0, 8, 0, 0, 2, 3, 13
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedHumMale.psc", "Papyrus", 0, 0, 0, 8, 0, 0, 2, 3, 13
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_RippedPlayer.psc", "Papyrus", 0, 0, 0, 31, 0, 0, 8, 10, 49
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_SkeletonNodes.psc", "Papyrus", 0, 0, 0, 8, 0, 0, 20, 3, 31
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_State.psc", "Papyrus", 0, 0, 0, 85, 0, 0, 13, 12, 110
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_StateResults.psc", "Papyrus", 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_TextureMngr.psc", "Papyrus", 0, 0, 0, 110, 0, 0, 167, 46, 323
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_TextureOnEquip.psc", "Papyrus", 0, 0, 0, 25, 0, 0, 2, 6, 33
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_TrainingWeight.psc", "Papyrus", 0, 0, 0, 62, 0, 0, 0, 17, 79
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_TrainingWeightCreate.psc", "Papyrus", 0, 0, 0, 19, 0, 0, 0, 6, 25
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_WeightTraining.psc", "Papyrus", 0, 0, 0, 48, 0, 0, 1, 13, 62
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\SKI_WidgetBase.psc", "Papyrus", 0, 0, 0, 228, 0, 0, 31, 63, 322
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\SKI_WidgetManager.psc", "Papyrus", 0, 0, 0, 118, 0, 0, 17, 47, 182
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\UILIB_1.psc", "Papyrus", 0, 0, 0, 156, 0, 0, 4, 19, 179
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\skyrimse.ppj", "Papyrus Project", 44, 0, 0, 0, 0, 0, 0, 4, 48
"Total", "-", 44, 14, 79, 4807, 62, 37, 845, 1143, 7031
